seed,alpha,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,max_LPS,mean_HHI,median_HHI,n_active_crops,target_violations
57684,0.6,Optimal,True,,21.968053900025552,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.3081,0.0652,0.062,7,0
57684,1.0,Optimal,True,,11.542378000012832,11768765.0,9892202.0,11561234.0,11437916.0,0.9718875345034079,1.0,0.182,0.0621,8,0
621609,0.33,Infeasible,False,proposed.reopt_phase3,11.821318200003589,,,,,,,,,,
621609,0.4,Infeasible,False,proposed.reopt_phase3,11.882910700020147,,,,,,,,,,
621609,0.5,Infeasible,False,proposed.reopt_phase3,11.87574499999755,,,,,,,,,,
621609,0.6,Infeasible,False,proposed.reopt_phase3,11.52099140000064,,,,,,,,,,
621609,1.0,Infeasible,False,proposed.reopt_phase3,11.705667500005802,,,,,,,,,,
627177,0.33,Infeasible,False,proposed.reopt_phase3,10.54063849998056,,,,,,,,,,
627177,0.4,Infeasible,False,proposed.reopt_phase3,10.635544499993557,,,,,,,,,,
627177,0.5,Infeasible,False,proposed.reopt_phase3,10.552090499986662,,,,,,,,,,
627177,0.6,Infeasible,False,proposed.reopt_phase3,10.371274200006155,,,,,,,,,,
627177,1.0,Infeasible,False,proposed.reopt_phase3,10.510207600018475,,,,,,,,,,
637394,0.33,Optimal,True,,13.732179100014037,12885185.0,10076401.0,11175225.0,11117216.0,0.862790561408315,0.3237,0.0848,0.0728,8,0
637394,0.4,Optimal,True,,13.25480689998949,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,0.391,0.0885,0.075,8,0
637394,0.5,Optimal,True,,13.483290600008331,12885185.0,10076401.0,11229930.0,11171921.0,0.8670361349099761,0.4859,0.0992,0.0728,8,0
637394,0.6,Optimal,True,,13.324020900006872,12885185.0,10076401.0,11266561.0,11208552.0,0.8698790122144152,0.5641,0.1081,0.075,8,0
637394,1.0,Optimal,True,,12.891473299998324,12885185.0,10076401.0,11271730.0,11213721.0,0.8702801705990252,0.7871,0.1351,0.0728,8,0
651976,0.33,Optimal,True,,14.411559900006978,14283115.0,12319403.0,13504121.0,13162775.0,0.9215619281928347,0.1934,0.0596,0.0564,7,0
651976,0.4,Optimal,True,,15.00926319998689,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,0.365,0.0946,0.0584,8,0
651976,0.5,Optimal,True,,14.436716099997284,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,0.365,0.0946,0.0584,8,0
651976,0.6,Optimal,True,,14.805878200015286,14283115.0,12319403.0,13509153.0,13160356.0,0.9213925673776343,0.5411,0.1153,0.0584,8,0
651976,1.0,Optimal,True,,13.923595100000966,14283115.0,12319403.0,13511572.0,13162775.0,0.9215619281928347,1.0,0.1771,0.0584,8,0
65693,0.33,Optimal,True,,11.70818769998732,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.1851,0.0638,0.0626,7,0
65693,0.4,Optimal,True,,34.59749159999774,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.1851,0.0638,0.0626,7,0
65693,0.5,Optimal,True,,11.929491399991093,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.1851,0.0638,0.0626,7,0
65693,0.6,Optimal,True,,12.335623099992517,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.1851,0.0638,0.0626,7,0
65693,1.0,Optimal,True,,17.085275399993407,11317399.0,9278817.0,10119095.0,10039771.0,0.8871093967792423,1.0,0.181,0.0696,8,0
679242,0.33,Optimal,True,,13.913827299984405,13159072.0,11127309.0,12048474.0,11756790.0,0.8934361024850385,0.3275,0.0848,0.0611,8,0
679242,0.4,Optimal,True,,14.307575600018026,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,0.3753,0.0924,0.0611,8,0
679242,0.5,Optimal,True,,13.800993899989408,13159072.0,11127309.0,12111462.0,11819778.0,0.8982227622130192,0.4389,0.0978,0.0611,8,0
679242,0.6,Optimal,True,,13.452971099992283,13159072.0,11127309.0,12139136.0,11847452.0,0.9003257980501969,0.5191,0.1126,0.0611,8,0
679242,1.0,Optimal,True,,13.384418200002983,13159072.0,11127309.0,12143951.0,11852267.0,0.9006917053117424,1.0,0.1746,0.0611,8,0
720982,0.33,Optimal,True,,13.543841500009876,12139025.0,10811387.0,11619952.0,11469398.0,0.9448368382139423,0.325,0.0797,0.0628,8,0
720982,0.4,Optimal,True,,13.56530760001624,12139025.0,10811387.0,11655565.0,11505011.0,0.9477705993685654,0.3929,0.0888,0.0628,8,0
720982,0.5,Optimal,True,,13.616563399991719,12139025.0,10811387.0,11683688.0,11533134.0,0.9500873422700752,0.4428,0.0965,0.0628,8,0
720982,0.6,Optimal,True,,13.4950886000006,12139025.0,10811387.0,11686923.0,11536369.0,0.9503538381377417,0.5878,0.1161,0.0628,8,0
720982,1.0,Optimal,True,,13.111294800008181,12139025.0,10811387.0,11686923.0,11536369.0,0.9503538381377417,0.5878,0.1161,0.0628,8,0
737579,0.33,Optimal,True,,19.078482500015525,11342113.0,9367886.0,10193436.0,9859538.0,0.8692858200231297,0.23,0.0638,0.0589,7,0
737579,0.4,Optimal,True,,18.96871950000059,11342113.0,9367886.0,10200172.0,9866936.0,0.8699380794389899,0.3926,0.0935,0.0597,8,0
737579,0.5,Optimal,True,,19.045619000011357,11342113.0,9367886.0,10203298.0,9870062.0,0.8702136894598035,0.4872,0.0959,0.0597,8,0
737579,0.6,Optimal,True,,18.90359560001525,11342113.0,9367886.0,10205437.0,9872201.0,0.8704022786583064,0.5835,0.1083,0.0597,8,0
737579,1.0,Optimal,True,,18.27552569998079,11342113.0,9367886.0,10308351.0,9974453.0,0.879417530049295,0.8563,0.1501,0.0597,8,0
750647,0.33,Optimal,True,,13.7598805000016,15586202.0,12797649.0,14404150.0,14142275.0,0.9073586368250585,0.3259,0.0987,0.0808,8,0
750647,0.4,Optimal,True,,13.769938199984608,15586202.0,12797649.0,14603372.0,14341497.0,0.9201405833185018,0.3932,0.1132,0.0808,8,0
750647,0.5,Optimal,True,,13.582565399992745,15586202.0,12797649.0,14605454.0,14343579.0,0.9202741630064848,0.4676,0.1242,0.0808,8,0
750647,0.6,Optimal,True,,13.914795299991965,15586202.0,12797649.0,14607017.0,14345142.0,0.9203744440114404,0.545,0.1381,0.0808,8,0
750647,1.0,Optimal,True,,13.036781900009373,15586202.0,12797649.0,14607017.0,14345142.0,0.9203744440114404,0.545,0.1381,0.0808,8,0
80120,0.33,Optimal,True,,16.988870900007896,12493200.0,10522767.0,11592516.0,11422025.0,0.9142593570902571,0.2595,0.0708,0.0672,7,0
80120,0.4,Optimal,True,,12.463165199995274,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,0.3999,0.0979,0.0927,8,0
80120,0.5,Optimal,True,,34.59357860000455,12493200.0,10522767.0,11676046.0,11505331.0,0.9209274645407102,0.4802,0.1083,0.0927,8,0
80120,0.6,Optimal,True,,35.76238880000892,12493200.0,10522767.0,11677443.0,11506728.0,0.9210392853712419,0.5021,0.1119,0.0927,8,0
80120,1.0,Optimal,True,,34.421195500006434,12493200.0,10522767.0,11677443.0,11506728.0,0.9210392853712419,0.5021,0.1119,0.0927,8,0
803466,0.33,Optimal,True,,15.193282099993667,15661322.0,12318682.0,13853897.0,13812434.0,0.8819455982068436,0.3157,0.0723,0.0597,7,0
803466,0.4,Optimal,True,,15.627511700004106,15661322.0,12318682.0,13853897.0,13812434.0,0.8819455982068436,0.3157,0.0723,0.0597,7,0
803466,0.5,Optimal,True,,15.484729099989636,15661322.0,12318682.0,13853897.0,13812434.0,0.8819455982068436,0.3157,0.0723,0.0597,7,0
803466,0.6,Optimal,True,,14.930010399984894,15661322.0,12318682.0,14077374.0,14035911.0,0.8962149555446214,0.5977,0.1537,0.0673,8,0
803466,1.0,Optimal,True,,14.73190430001705,15661322.0,12318682.0,14080078.0,14038615.0,0.8963876101902508,0.799,0.1828,0.0644,8,0
870215,0.33,Optimal,True,,14.977248099981807,15214456.0,12559908.0,14031136.0,13952455.0,0.9170525058536434,0.306,0.0867,0.0756,8,0
870215,0.4,Optimal,True,,13.324357799981954,15214456.0,12559908.0,14036264.0,13952455.0,0.9170525058536434,0.3879,0.0946,0.0727,8,0
870215,0.5,Optimal,True,,14.371933999995235,15214456.0,12559908.0,14038084.0,13954275.0,0.9171721289279091,0.4599,0.1058,0.0716,8,0
870215,0.6,Optimal,True,,14.244625300023472,15214456.0,12559908.0,14039327.0,13955518.0,0.9172538275440147,0.5266,0.1185,0.0708,8,0
870215,1.0,Optimal,True,,14.018231800000649,15214456.0,12559908.0,14039327.0,13955518.0,0.9172538275440147,0.5266,0.1185,0.0708,8,0
885219,0.33,Optimal,True,,14.678810800018255,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,0.2184,0.065,0.0666,7,0
885219,0.4,Optimal,True,,14.309150699991733,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,0.2184,0.065,0.0666,7,0
885219,0.5,Optimal,True,,14.147296699986327,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,0.2184,0.065,0.0666,7,0
885219,0.6,Optimal,True,,14.309585899987724,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,0.2184,0.065,0.0666,7,0
885219,1.0,Optimal,True,,13.792709700006526,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,0.2184,0.065,0.0666,7,0
908270,0.33,Optimal,True,,13.423964899993734,13124941.0,10847412.0,11591490.0,11462398.0,0.8733294877287449,0.3092,0.0795,0.0702,7,0
908270,0.4,Optimal,True,,13.48327630001586,13124941.0,10847412.0,11591490.0,11462398.0,0.8733294877287449,0.3092,0.0795,0.0702,7,0
908270,0.5,Optimal,True,,13.166347799997311,13124941.0,10847412.0,11591490.0,11462398.0,0.8733294877287449,0.3092,0.0795,0.0702,7,0
908270,0.6,Optimal,True,,13.369259899976896,13124941.0,10847412.0,11591490.0,11462398.0,0.8733294877287449,0.3092,0.0795,0.0702,7,0
908270,1.0,Optimal,True,,12.701030600001104,13124941.0,10847412.0,11594545.0,11465453.0,0.8735622506798316,1.0,0.1945,0.0865,8,0
947906,0.33,Optimal,True,,18.638028299988946,11365265.0,9187238.0,10096135.0,10014854.0,0.8811808611589786,0.2548,0.0708,0.066,7,0
947906,0.4,Optimal,True,,18.51963789999718,11365265.0,9187238.0,10096135.0,10014854.0,0.8811808611589786,0.2548,0.0708,0.066,7,0
947906,0.5,Optimal,True,,18.72510360000888,11365265.0,9187238.0,10096135.0,10014854.0,0.8811808611589786,0.2548,0.0708,0.066,7,0
947906,0.6,Optimal,True,,18.3944825999788,11365265.0,9187238.0,10101695.0,10030894.0,0.8825921788889216,0.5316,0.1114,0.0742,8,0
947906,1.0,Optimal,True,,18.12078319999273,11365265.0,9187238.0,10104525.0,10033724.0,0.8828411832016235,1.0,0.187,0.0742,8,0
