seed,lambda,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,changed_soft_area,soft_lock_area,disruption_rate
385101,0.0,Optimal,True,,15.9462923000101,13497163.0,11318677.0,13160478.0,12903542.0,0.9560188315129632,4.9,74.7,0.06559571619812583
385101,0.05,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,1.0,74.7,0.013386880856760375
385101,0.1,Optimal,True,,15.660401899978751,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,1.0,74.7,0.013386880856760375
385101,0.25,Optimal,True,,15.807396299991524,13497163.0,11318677.0,13130912.0,12979863.0,0.9616734272231876,0.3,74.7,0.004016064257028112
385101,0.5,Optimal,True,,14.910705199989025,13497163.0,11318677.0,13110462.0,12959413.0,0.960158294005933,0.0,74.7,0.0
385101,1.0,Optimal,True,,14.973274899995886,13497163.0,11318677.0,13106986.0,12955937.0,0.9599007584038216,0.0,74.7,0.0
449132,0.0,Optimal,True,,13.56369939999422,12906260.0,10000947.0,11269579.0,11136852.0,0.8629031183317243,4.8,81.5,0.05889570552147239
449132,0.05,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0,0.8625680096325349,1.8,81.5,0.022085889570552148
449132,0.1,Optimal,True,,13.530591399990954,12906260.0,10000947.0,11260117.0,11132527.0,0.8625680096325349,1.8,81.5,0.022085889570552148
449132,0.25,Optimal,True,,14.533628900011536,12906260.0,10000947.0,11233231.0,11105641.0,0.8604848344911694,0.7,81.5,0.008588957055214723
449132,0.5,Optimal,True,,14.441652199981036,12906260.0,10000947.0,11233231.0,11105641.0,0.8604848344911694,0.7,81.5,0.008588957055214723
449132,1.0,Optimal,True,,14.694396100006998,12906260.0,10000947.0,11174193.0,11041064.0,0.8554812935738161,0.0,81.5,0.0
496928,0.0,Infeasible,False,proposed.reopt_phase3,11.477700499992352,,,,,,,,
496928,0.05,Infeasible,False,proposed.reopt_phase3,11.639262899989262,,,,,,,,
496928,0.1,Infeasible,False,proposed.reopt_phase3,11.556153299985453,,,,,,,,
496928,0.25,Infeasible,False,proposed.reopt_phase3,11.83267020000494,,,,,,,,
496928,0.5,Infeasible,False,proposed.reopt_phase3,11.191842200001702,,,,,,,,
496928,1.0,Infeasible,False,proposed.reopt_phase3,12.449929199996404,,,,,,,,
514942,0.0,Optimal,True,,12.931797500001267,13128152.0,10502129.0,11679242.0,11533765.0,0.8785520612497478,5.4,116.8,0.04623287671232877
514942,0.05,Optimal,True,,12.973244199994951,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,4.2,116.8,0.035958904109589046
514942,0.1,Optimal,True,,12.93644520000089,13128152.0,10502129.0,11676355.0,11530878.0,0.8783321521566783,4.2,116.8,0.035958904109589046
514942,0.25,Optimal,True,,12.875375899981009,13128152.0,10502129.0,11637634.0,11515102.0,0.8771304597935795,2.1,116.8,0.017979452054794523
514942,0.5,Optimal,True,,12.877974000002723,13128152.0,10502129.0,11532022.0,11447217.0,0.8719595111330216,0.6,116.8,0.005136986301369863
514942,1.0,Optimal,True,,12.790012300014496,13128152.0,10502129.0,11480119.0,11406828.0,0.8688829928233616,0.0,116.8,0.0
52314,0.0,Optimal,True,,23.745029700017767,12922898.0,10495462.0,11632037.0,11438158.0,0.885107814052235,3.8,83.3,0.04561824729891957
52314,0.05,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,0.4,83.3,0.0048019207683073235
52314,0.1,Optimal,True,,30.384039399999892,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,0.4,83.3,0.0048019207683073235
52314,0.25,Optimal,True,,17.706948700011708,12922898.0,10495462.0,11616322.0,11213232.0,0.8677025849774563,0.1,83.3,0.0012004801920768309
52314,0.5,Optimal,True,,27.162409299984574,12922898.0,10495462.0,11613897.0,11431548.0,0.8845963188752244,0.1,83.3,0.0012004801920768309
52314,1.0,Optimal,True,,15.52403690002393,12922898.0,10495462.0,11609276.0,11426927.0,0.8842387365434595,0.0,83.3,0.0
57684,0.0,Optimal,True,,12.14695669998764,11768765.0,9892202.0,11563431.0,11448067.0,0.9727500719064405,4.6,77.8,0.05912596401028277
57684,0.05,Optimal,True,,13.069189900008496,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,1.0,77.8,0.012853470437017995
57684,0.1,Optimal,True,,29.111354599997867,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,1.0,77.8,0.012853470437017995
57684,0.25,Optimal,True,,32.7930694000097,11768765.0,9892202.0,11546769.0,11412315.0,0.9697122000481784,0.8,77.8,0.010282776349614397
