seed,condition,b1_status,b1_cash_planned,b2_status,b2_cash_planned,b3_status,b3_cash_planned,proposed_status,proposed_optimal,proposed_failed_stage,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash,final_vs_planned_ratio,final_vs_recommended_ratio,consent_coverage_final,reopt_status,conc_status
449132,UR,Optimal,12680934.0,Optimal,12615591.0,Optimal,12005835.0,,True,,12005835.0,9240605.0,10184006.0,10084776.0,0.8399895550788429,0.9902562901082345,1.0,Optimal,Optimal
449132,UW,Optimal,13115494.0,Optimal,13115494.0,Optimal,12461423.0,,True,,12461423.0,9898731.0,11084956.0,10906320.0,0.8752066276860997,0.9838848255238902,1.0,Optimal,Optimal
496928,U0,Optimal,14759805.0,Optimal,12734618.0,Optimal,12099824.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
496928,UJ,Optimal,13789859.0,Optimal,12151012.0,Optimal,11544041.0,,True,,11544041.0,10034183.0,10898287.0,10712264.0,0.9279475012259571,0.9829309872276257,1.0,Optimal,Optimal
496928,UM,Optimal,15933567.0,Optimal,14137611.0,Optimal,13441624.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
496928,UP,Optimal,13308101.0,Optimal,11423080.0,Optimal,10852955.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
496928,UR,Optimal,14213344.0,Optimal,12265298.0,Optimal,11653290.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
496928,UW,Optimal,14811086.0,Optimal,12716885.0,Optimal,12082207.0,,True,,12082207.0,10653837.0,11407907.0,11277122.0,0.9333660646602066,0.9885355832581735,1.0,Optimal,Optimal
514942,U0,Optimal,14838165.0,Optimal,13818431.0,Optimal,13128152.0,,True,,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.9875408487111133,1.0,Optimal,Optimal
514942,UJ,Optimal,13561613.0,Optimal,12282259.0,Optimal,11673470.0,Infeasible,False,proposed.phase4_e_star_alpha,,,,,,,,,
514942,UM,Optimal,15233822.0,Optimal,13991186.0,Optimal,13303569.0,,True,,13303569.0,10786058.0,11548392.0,11192418.0,0.8413094260645395,0.9691754488417089,1.0,Optimal,Optimal
514942,UP,Optimal,13758043.0,Optimal,12726710.0,Optimal,12091658.0,,True,,12091658.0,9557192.0,10659740.0,10564326.0,0.8736871320707218,0.9910491250255635,1.0,Optimal,Optimal
514942,UR,Optimal,14354569.0,Optimal,13356286.0,Optimal,12689132.0,,True,,12689132.0,10500065.0,11301047.0,11256541.0,0.8871009459118244,0.9960617808243785,1.0,Optimal,Optimal
514942,UW,Optimal,14704357.0,Optimal,13562808.0,Optimal,12888991.0,,True,,12888991.0,10381634.0,11387699.0,10869569.0,0.8433219481649107,0.9545009048799059,1.0,Optimal,Optimal
52314,U0,Optimal,14716670.0,Optimal,13601544.0,Optimal,12922898.0,,True,,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,0.9653203588739324,1.0,Optimal,Optimal
52314,UJ,Optimal,13697169.0,Optimal,13047165.0,Optimal,12397281.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
52314,UM,Optimal,15151281.0,Optimal,14510824.0,Optimal,13785332.0,,True,,13785332.0,11227529.0,12254053.0,11884629.0,0.8621213475308394,0.9698529131545294,1.0,Optimal,Optimal
52314,UP,Optimal,13764060.0,Optimal,12549438.0,Optimal,11922247.0,,True,,11922247.0,9782416.0,10781562.0,10320001.0,0.8656087229194296,0.9571897838179663,1.0,Optimal,Optimal
52314,UR,Optimal,14148932.0,Optimal,13175502.0,Optimal,12516795.0,,True,,12516795.0,10296273.0,11299457.0,10852349.0,0.8670229879134395,0.9604310189418837,1.0,Optimal,Optimal
52314,UW,Optimal,14733650.0,Optimal,13618524.0,Optimal,12938515.0,,True,,12938515.0,10603973.0,11677792.0,11506601.0,0.8893293395725862,0.985340465046817,1.0,Optimal,Optimal
57684,U0,Optimal,13758563.0,Optimal,12382903.0,Optimal,11768765.0,,True,,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.9893253728800693,1.0,Optimal,Optimal
57684,UJ,Optimal,11071246.0,Optimal,10335990.0,Optimal,9828705.0,,True,,9828705.0,8624033.0,9691428.0,9613264.0,0.9780804287034762,0.9919347282980382,1.0,Optimal,Optimal
57684,UM,Optimal,13414885.0,Optimal,12140961.0,Optimal,11536711.0,,True,,11536711.0,9531065.0,11218614.0,11122128.0,0.9640640213662283,0.9913994723412357,1.0,Optimal,Optimal
57684,UP,Optimal,12157985.0,Optimal,10831546.0,Optimal,10342887.0,,True,,10342887.0,8997358.0,10193393.0,10103379.0,0.976843216018893,0.9911693780471331,1.0,Optimal,Optimal
57684,UR,Optimal,13380381.0,Optimal,12135193.0,Optimal,11533783.0,,True,,11533783.0,9641071.0,11259714.0,11078685.0,0.9605421742371952,0.983922415791378,1.0,Optimal,Optimal
57684,UW,Optimal,13329543.0,Optimal,12382903.0,Optimal,11820240.0,,True,,11820240.0,9942047.0,11521362.0,11423994.0,0.9664773304095349,0.9915489158313053,1.0,Optimal,Optimal
621609,U0,Optimal,15871932.0,Optimal,14274010.0,Optimal,13567722.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
621609,UJ,Optimal,15946534.0,Optimal,14089419.0,Optimal,13384955.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
621609,UM,Optimal,17931087.0,Optimal,16195418.0,Optimal,15386294.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
621609,UP,Optimal,14766745.0,Optimal,13035065.0,Optimal,12388164.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
621609,UR,Optimal,15156114.0,Optimal,13587858.0,Optimal,12910313.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
621609,UW,Optimal,15871932.0,Optimal,14274010.0,Optimal,13567722.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
627177,U0,Optimal,12307764.0,Optimal,11948968.0,Optimal,11355561.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
627177,UJ,Optimal,9365616.0,Optimal,9302520.0,Optimal,8870358.0,,True,,8870358.0,7870003.0,8599950.0,8506278.0,0.9589554333658236,0.9891078436502537,1.0,Optimal,Optimal
627177,UM,Optimal,12088668.0,Optimal,11705140.0,Optimal,11121004.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
627177,UP,Optimal,10321435.0,Optimal,10096287.0,Optimal,9591496.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
627177,UR,Optimal,11567794.0,Optimal,11282850.0,Optimal,10723347.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
627177,UW,Optimal,12181823.0,Optimal,11948968.0,Optimal,11355911.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
637394,U0,Optimal,13643979.0,Optimal,13559534.0,Optimal,12885185.0,,True,,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,0.994819738805317,1.0,Optimal,Optimal
637394,UJ,Optimal,12919434.0,Optimal,12919434.0,Optimal,12279033.0,,True,,12279033.0,9128162.0,10411299.0,10273194.0,0.8366451983637474,0.9867350846421757,1.0,Optimal,Optimal
637394,UM,Optimal,15069637.0,Optimal,14966250.0,Optimal,14218205.0,,True,,14218205.0,11047399.0,12488635.0,12416299.0,0.8732676874471847,0.9942078537806573,1.0,Optimal,Optimal
637394,UP,Optimal,12354743.0,Optimal,12344099.0,Optimal,11738943.0,,True,,11738943.0,8927869.0,10515283.0,10460735.0,0.8911138762663725,0.9948125029064838,1.0,Optimal,Optimal
637394,UR,Optimal,12910307.0,Optimal,12906038.0,Optimal,12265141.0,,True,,12265141.0,9234413.0,10532622.0,10465671.0,0.8532858285118777,0.9936434631376688,1.0,Optimal,Optimal
637394,UW,Optimal,13802195.0,Optimal,13717750.0,Optimal,13050783.0,,True,,13050783.0,9907164.0,11391297.0,11336749.0,0.8686642786107163,0.9952114320256947,1.0,Optimal,Optimal
651976,U0,Optimal,15352176.0,Optimal,15024792.0,Optimal,14283115.0,,True,,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,0.9741758256403088,1.0,Optimal,Optimal
651976,UJ,Optimal,15438964.0,Optimal,15285050.0,Optimal,14523139.0,,True,,14523139.0,12562215.0,13379795.0,12975572.0,0.8934412870385665,0.9697885505719632,1.0,Optimal,Optimal
651976,UM,Optimal,17252460.0,Optimal,16925076.0,Optimal,16090198.0,,True,,16090198.0,14310953.0,15517526.0,14836560.0,0.9220868506403712,0.9561163293684831,1.0,Optimal,Optimal
651976,UP,Optimal,14486128.0,Optimal,14108173.0,Optimal,13431711.0,,True,,13431711.0,11665768.0,12646627.0,12206062.0,0.9087496001067921,0.9651634384409377,1.0,Optimal,Optimal
651976,UR,Optimal,14459703.0,Optimal,14418017.0,Optimal,13701840.0,,True,,13701840.0,12017518.0,12910980.0,12672462.0,0.9248730097563539,0.9815259569761552,1.0,Optimal,Optimal
651976,UW,Optimal,15600323.0,Optimal,15157662.0,Optimal,14402022.0,,True,,14402022.0,12496295.0,13521476.0,13143240.0,0.9125968561914432,0.9720270183521384,1.0,Optimal,Optimal
65693,U0,Optimal,11907597.0,Optimal,11907597.0,Optimal,11317399.0,,True,,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.992156547884372,1.0,Optimal,Optimal
65693,UJ,Optimal,8259721.0,Optimal,8259721.0,Optimal,7856557.0,,True,,7856557.0,6399764.0,6838652.0,6787288.0,0.8639010701507034,0.992489163068979,1.0,Optimal,Optimal
65693,UM,Optimal,10867927.0,Optimal,10864387.0,Optimal,10329603.0,Infeasible,False,proposed.phase4_e_star_alpha,,,,,,,,,
65693,UP,Optimal,9877400.0,Optimal,9757460.0,Optimal,9277984.0,,True,,9277984.0,7195913.0,7877664.0,7796948.0,0.8403709254079335,0.9897538153442442,1.0,Optimal,Optimal
65693,UR,Optimal,11385861.0,Optimal,11385861.0,Optimal,10819791.0,,True,,10819791.0,8720884.0,9561220.0,9503250.0,0.8783210322639319,0.9939369662030577,1.0,Optimal,Optimal
65693,UW,Optimal,11620318.0,Optimal,11620318.0,Optimal,11042164.0,,True,,11042164.0,9119862.0,9565360.0,9488510.0,0.8592980506357268,0.9919658016007762,1.0,Optimal,Optimal
679242,U0,Optimal,13849239.0,Optimal,13849239.0,Optimal,13159072.0,,True,,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,0.9758522423875752,1.0,Optimal,Optimal
679242,UJ,Optimal,11579202.0,Optimal,11335990.0,Optimal,10769867.0,,True,,10769867.0,9228008.0,9971454.0,9696612.0,0.9003464945295981,0.9724371189998972,1.0,Optimal,Optimal
679242,UM,Optimal,14006196.0,Optimal,14006196.0,Optimal,13307041.0,,True,,13307041.0,11366643.0,12349389.0,12006409.0,0.902259863781888,0.9722269660466603,1.0,Optimal,Optimal
679242,UP,Optimal,12537900.0,Optimal,12378663.0,Optimal,11766351.0,,True,,11766351.0,10018985.0,10915576.0,10645685.0,0.9047567083456884,0.9752746900392614,1.0,Optimal,Optimal
679242,UR,Optimal,12889096.0,Optimal,12889096.0,Optimal,12245914.0,,True,,12245914.0,10482661.0,11242871.0,10977263.0,0.8964020978752586,0.9763754293720883,1.0,Optimal,Optimal
679242,UW,Optimal,13675057.0,Optimal,13451236.0,Optimal,12783655.0,,True,,12783655.0,10900246.0,11806960.0,11532198.0,0.9021049144395714,0.9767288108031195,1.0,Optimal,Optimal
720982,U0,Optimal,13161391.0,Optimal,12773141.0,Optimal,12139025.0,,True,,12139025.0,10811387.0,11655565.0,11505011.0,0.9477705993685654,0.9870830800566082,1.0,Optimal,Optimal
