seed,n_farmers,b1_status,b1_optimal,b1_cash,b1_runtime_s,b2_status,b2_optimal,b2_cash,b2_runtime_s,b3_status,b3_optimal,b3_cash,b3_runtime_s,proposed_status,proposed_optimal,proposed_failed_stage,proposed_runtime_s,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash
331297,250,Optimal,True,7935288.0,3.08,Optimal,True,7046943.0,0.38,Optimal,True,6704807.0,0.11,Infeasible,False,proposed.reopt_phase3,5.4864258999878075,,,,
331297,50,Optimal,True,1673727.0,0.62,Optimal,True,1095519.0,0.06,Optimal,True,1046805.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.3774827999877743,,,,
331297,500,Optimal,True,15814650.0,13.58,Optimal,True,15269506.0,0.41,Optimal,True,14555507.0,0.15,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0
385101,100,Optimal,True,3367798.0,1.26,Optimal,True,2738291.0,0.2,Optimal,True,2601387.0,0.09,Infeasible,False,proposed.reopt_phase3,2.2980413000041153,,,,
385101,25,Optimal,True,402213.0,0.3,Optimal,True,177219.0,0.11,Optimal,True,173373.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.7814837999758311,,,,
385101,250,Optimal,True,6885328.0,3.65,Optimal,True,5711148.0,0.35,Optimal,True,5425708.0,0.16,Infeasible,False,proposed.phase4_e_star_alpha,6.335476100008236,,,,
385101,50,Optimal,True,1638429.0,0.57,Optimal,True,1413435.0,0.05,Optimal,True,1360223.0,0.08,Infeasible,False,proposed.reopt_phase3,1.085194599989336,,,,
385101,500,Optimal,True,16607005.0,13.96,Optimal,True,14199009.0,0.62,Optimal,True,13497163.0,0.22,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0
449132,100,Optimal,True,2163964.0,1.16,Optimal,True,2110432.0,0.09,Optimal,True,2017062.0,0.09,Infeasible,False,proposed.phase4_e_star_alpha,2.5382246999943163,,,,
449132,25,Optimal,True,324081.0,0.32,Optimal,True,315137.0,0.06,Optimal,True,307447.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.8577549000037834,,,,
449132,250,Optimal,True,6047163.0,3.24,Optimal,True,6047163.0,0.12,Optimal,True,5852289.0,0.08,Optimal,True,,6.846362500014948,5852289.0,4927278.0,4592662.0,4371473.0
449132,50,Optimal,True,653035.0,0.63,Optimal,True,653035.0,0.08,Optimal,True,622351.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.4627669000183232,,,,
449132,500,Optimal,True,13675589.0,14.26,Optimal,True,13562104.0,0.42,Optimal,True,12906260.0,0.18,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0
496928,100,Optimal,True,2839085.0,1.37,Optimal,True,2486954.0,0.08,Optimal,True,2374578.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.1161646000109613,,,,
496928,25,Optimal,True,848598.0,0.29,Optimal,True,621943.0,0.05,Optimal,True,596407.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.7217393000028096,,,,
496928,250,Optimal,True,7561804.0,3.45,Optimal,True,6781444.0,0.27,Optimal,True,6445860.0,0.17,Optimal,True,,6.955805000005057,6445860.0,5759372.0,6191038.0,6066345.0
496928,50,Optimal,True,1411986.0,0.5,Optimal,True,1072952.0,0.05,Optimal,True,1022927.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,1.174031600006856,,,,
496928,500,Optimal,True,14759805.0,13.69,Optimal,True,12734618.0,0.64,Optimal,True,12099824.0,0.32,Infeasible,False,proposed.reopt_phase3,11.639262899989262,,,,
514942,100,Optimal,True,3821770.0,1.08,Optimal,True,3504774.0,0.09,Optimal,True,3330034.0,0.08,Optimal,True,,2.584318199980771,3330034.0,1737839.0,1981282.0,1976594.0
514942,25,Optimal,True,588330.0,0.28,Optimal,True,394601.0,0.06,Optimal,True,383099.0,0.17,Infeasible,False,proposed.phase4_e_star_alpha,0.8763136000197846,,,,
514942,250,Optimal,True,8867135.0,3.37,Optimal,True,7802162.0,0.31,Optimal,True,7441235.0,0.13,Optimal,True,,6.725082200020552,7441235.0,5546193.0,6372874.0,6283758.0
514942,50,Optimal,True,1136007.0,0.56,Optimal,True,1136007.0,0.06,Optimal,True,1096817.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.227329000015743,,,,
514942,500,Optimal,True,14838165.0,14.22,Optimal,True,13818431.0,0.38,Optimal,True,13128152.0,0.15,Optimal,True,,12.973244199994951,13128152.0,10502129.0,11676317.0,11530840.0
52314,100,Optimal,True,3043357.0,1.16,Optimal,True,3025164.0,0.15,Optimal,True,2875989.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.2383254999876954,,,,
52314,25,Optimal,True,699149.0,0.73,Optimal,True,538544.0,0.11,Optimal,True,517372.0,0.07,Infeasible,False,proposed.reopt_phase3,1.1431921000184957,,,,
52314,250,Optimal,True,6960363.0,3.84,Optimal,True,6373482.0,0.19,Optimal,True,6057426.0,0.17,Infeasible,False,proposed.phase4_e_star_alpha,14.020197000005282,,,,
52314,50,Optimal,True,1329278.0,0.68,Optimal,True,1267833.0,0.07,Optimal,True,1209379.0,0.07,Infeasible,False,proposed.reopt_phase3,1.2185524000087753,,,,
52314,500,Optimal,True,14716670.0,14.26,Optimal,True,13601544.0,0.59,Optimal,True,12922898.0,0.23,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0
57684,100,Optimal,True,1978733.0,1.64,Optimal,True,1745659.0,0.32,Optimal,True,1662971.0,0.1,Infeasible,False,proposed.phase4_e_star_alpha,5.850136000022758,,,,
57684,25,Optimal,True,461717.0,0.43,Optimal,True,344680.0,0.07,Optimal,True,330634.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.6088782000006177,,,,
57684,250,Optimal,True,6135901.0,3.95,Optimal,True,5432015.0,0.16,Optimal,True,5170581.0,0.08,Optimal,True,,16.5131076000107,5170581.0,4714423.0,5084996.0,4965847.0
57684,50,Optimal,True,724726.0,0.86,Optimal,True,724726.0,0.07,Optimal,True,703539.0,0.09,Infeasible,False,proposed.phase4_e_star_alpha,2.6853603000054136,,,,
57684,500,Optimal,True,13758563.0,14.36,Optimal,True,12382903.0,0.41,Optimal,True,11768765.0,0.15,Optimal,True,,13.069189900008496,11768765.0,9892202.0,11552441.0,11429123.0
621609,100,Optimal,True,2610405.0,1.37,Optimal,True,2508854.0,0.09,Optimal,True,2386490.0,0.09,Optimal,True,,3.311480800010031,2386490.0,2025033.0,2277326.0,2276159.0
621609,25,Optimal,True,731443.0,0.38,Optimal,True,630077.0,0.06,Optimal,True,598917.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.8887036999803968,,,,
621609,250,Optimal,True,8199619.0,3.74,Optimal,True,8173693.0,0.32,Optimal,True,7766302.0,0.11,Infeasible,False,proposed.reopt_phase3,5.950859600008698,,,,
621609,50,Optimal,True,1493982.0,0.65,Optimal,True,1422051.0,0.21,Optimal,True,1351867.0,0.1,Infeasible,False,proposed.phase4_e_star_alpha,1.5978143000102136,,,,
621609,500,Optimal,True,15871932.0,15.58,Optimal,True,14274010.0,0.84,Optimal,True,13567722.0,0.31,Infeasible,False,proposed.reopt_phase3,11.882910700020147,,,,
627177,100,Optimal,True,1607571.0,1.06,Optimal,True,1607571.0,0.07,Optimal,True,1535358.0,0.07,Optimal,True,,2.748274699988542,1535358.0,1463107.0,1498466.0,1496108.0
627177,25,Optimal,True,352538.0,0.21,Optimal,True,352538.0,0.05,Optimal,True,342542.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.6959756999858655,,,,
627177,250,Optimal,True,5435743.0,2.7,Optimal,True,4981143.0,0.3,Optimal,True,4734784.0,0.2,Optimal,True,,6.10960639998666,4734784.0,4583741.0,4732440.0,4688102.0
627177,50,Optimal,True,568985.0,0.35,Optimal,True,568985.0,0.06,Optimal,True,560521.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.129668200010201,,,,
627177,500,Optimal,True,12307764.0,12.83,Optimal,True,11948968.0,0.3,Optimal,True,11355561.0,0.17,Infeasible,False,proposed.reopt_phase3,10.635544499993557,,,,
637394,100,Optimal,True,3151828.0,1.17,Optimal,True,3151828.0,0.09,Optimal,True,3011824.0,0.16,Infeasible,False,proposed.phase4_e_star_alpha,2.2324616000114474,,,,
637394,25,Optimal,True,383649.0,0.34,Optimal,True,383649.0,0.05,Optimal,True,379432.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.7554072000202723,,,,
637394,250,Optimal,True,6672975.0,3.1,Optimal,True,6672975.0,0.1,Optimal,True,6485410.0,0.1,Optimal,True,,6.471243200008757,6485410.0,4851108.0,5750666.0,5745906.0
637394,50,Optimal,True,823625.0,0.49,Optimal,True,823625.0,0.07,Optimal,True,800664.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.2319884000171442,,,,
637394,500,Optimal,True,13643979.0,12.81,Optimal,True,13559534.0,0.37,Optimal,True,12885185.0,0.28,Optimal,True,,13.25480689998949,12885185.0,10076401.0,11198084.0,11140075.0
651976,100,Optimal,True,3543208.0,1.42,Optimal,True,3543208.0,0.09,Optimal,True,3366890.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.762171699985629,,,,
651976,25,Optimal,True,1097702.0,0.5,Optimal,True,1062334.0,0.06,Optimal,True,1016485.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.9866693000076339,,,,
651976,250,Optimal,True,8380184.0,3.22,Optimal,True,8257643.0,0.21,Optimal,True,7899824.0,0.12,Optimal,True,,6.871821300010197,7899824.0,7043895.0,7646398.0,7353266.0
651976,50,Optimal,True,2305926.0,0.91,Optimal,True,2304295.0,0.09,Optimal,True,2207098.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.6326009999902453,,,,
651976,500,Optimal,True,15352176.0,13.45,Optimal,True,15024792.0,0.67,Optimal,True,14283115.0,0.19,Optimal,True,,15.00926319998689,14283115.0,12319403.0,13506608.0,13157811.0
65693,100,Optimal,True,1880801.0,1.19,Optimal,True,1880801.0,0.07,Optimal,True,1788826.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,2.1951176000002306,,,,
65693,25,Optimal,True,369470.0,0.32,Optimal,True,369470.0,0.05,Optimal,True,369137.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.6971474000019953,,,,
65693,250,Optimal,True,5745538.0,2.84,Optimal,True,5580994.0,0.23,Optimal,True,5315144.0,0.08,Optimal,True,,5.46049260001746,5315144.0,4147796.0,4485449.0,4127385.0
65693,50,Optimal,True,997669.0,0.67,Optimal,True,997087.0,0.08,Optimal,True,977486.0,0.08,Optimal,True,,1.6821330999955535,977486.0,936036.0,786514.0,786514.0
65693,500,Optimal,True,11907597.0,14.01,Optimal,True,11907597.0,0.26,Optimal,True,11317399.0,0.2,Optimal,True,,34.59749159999774,11317399.0,9278817.0,10113404.0,10034080.0
679242,100,Optimal,True,2230080.0,1.12,Optimal,True,2215878.0,0.08,Optimal,True,2142462.0,0.08,Optimal,True,,2.8123541999957524,2142462.0,2009124.0,1181387.0,1171577.0
679242,25,Optimal,True,387640.0,0.36,Optimal,True,329300.0,0.07,Optimal,True,317196.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.7434869999997318,,,,
679242,250,Optimal,True,6152939.0,3.4,Optimal,True,6101004.0,0.14,Optimal,True,5807498.0,0.14,Optimal,True,,6.833700999995926,5807498.0,4947453.0,5162490.0,5111557.0
679242,50,Optimal,True,829391.0,0.55,Optimal,True,806692.0,0.06,Optimal,True,772334.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.2781853000051342,,,,
679242,500,Optimal,True,13849239.0,13.76,Optimal,True,13849239.0,0.21,Optimal,True,13159072.0,0.16,Optimal,True,,14.307575600018026,13159072.0,11127309.0,12079134.0,11787450.0
720982,100,Optimal,True,2451648.0,1.52,Optimal,True,2179223.0,0.1,Optimal,True,2085074.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.662345299992012,,,,
720982,25,Optimal,True,366890.0,0.3,Optimal,True,366890.0,0.06,Optimal,True,366275.0,0.04,Infeasible,False,proposed.reopt_phase3,0.6931661999842618,,,,
720982,250,Optimal,True,7175848.0,3.22,Optimal,True,6840003.0,0.29,Optimal,True,6499243.0,0.15,Optimal,True,,6.93829530000221,6499243.0,5820959.0,6259515.0,6232842.0
720982,50,Optimal,True,679449.0,0.59,Optimal,True,678232.0,0.07,Optimal,True,646809.0,0.07,Infeasible,False,proposed.reopt_phase3,1.159212700003991,,,,
720982,500,Optimal,True,13161391.0,13.04,Optimal,True,12773141.0,0.27,Optimal,True,12139025.0,0.18,Optimal,True,,13.56530760001624,12139025.0,10811387.0,11655565.0,11505011.0
737579,100,Optimal,True,2796326.0,1.18,Optimal,True,2572625.0,0.41,Optimal,True,2445701.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,2.541614399990067,,,,
737579,25,Optimal,True,976549.0,0.43,Optimal,True,730199.0,0.06,Optimal,True,702370.0,0.06,Infeasible,False,proposed.reopt_phase3,0.7755786999769043,,,,
737579,250,Optimal,True,6195241.0,3.52,Optimal,True,5882299.0,4.77,Optimal,True,5594647.0,0.1,Optimal,True,,11.181627400015714,5594647.0,4849535.0,5303774.0,5193780.0
737579,50,Optimal,True,1561560.0,0.5,Optimal,True,1315210.0,0.07,Optimal,True,1267445.0,0.06,Infeasible,False,proposed.reopt_phase3,1.148975199990673,,,,
